survey_year,gender,age,citizenship_status,place_birth,parent_nativity,immigrant_generation,hispanic_origin,language_home,political_party,education,income,employment,marital_status,religion,geography,immigration_attitude,political_trust,vote_intention
2002,NA,23,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,3,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,54,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,70,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,2,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,2,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,2,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,85,1,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,63,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,51,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,2,1,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,2,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,55,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,68,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,2,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,2,3,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,1,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,1,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,69,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,73,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,1,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,80,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,75,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,56,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,NA,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,1,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,51,1,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,54,1,2,3,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,76,1,2,1,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,68,1,2,3,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,NA,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,62,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,80,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,1,2,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,2,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,3,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,77,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,1,2,NA,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,3,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,1,2,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,55,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,70,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,54,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,64,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,2,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,85,1,2,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,72,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,74,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,80,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,72,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,57,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,51,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,2,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
